Etichette di riga;Cella;Cella (Evaporatore);Freezer;Freezer  (Condensatore);Totale complessivo
2019-06-30T02:30:01+02:00;NaN;;-18.6;32.57;13.97
2019-06-30T02:30:02+02:00;-13.63;-24.78;NaN;;-38.41
2019-06-30T02:40:03+02:00;-13.62;-24.71;-16.2;31.15;-23.38
2019-06-30T02:50:04+02:00;-13.63;-24.65;-18.51;32.18;-24.61
2019-06-30T03:00:02+02:00;-13.65;-24.68;NaN;;-38.33
2019-06-30T03:00:03+02:00;NaN;;-16.3;30.82;14.52
2019-06-30T03:10:01+02:00;NaN;;-18.5;31.87;13.37
2019-06-30T03:10:02+02:00;-13.68;-24.63;NaN;;-38.31
2019-06-30T03:20:02+02:00;-13.68;-24.62;-16.25;30.87;-23.68
2019-06-30T03:30:02+02:00;-13.72;-24.72;-16.51;28.04;-26.91
2019-06-30T03:40:02+02:00;-13.74;-24.75;-11.44;33.67;-16.26
2019-06-30T03:50:02+02:00;-13.75;-24.7;-15.76;34.68;-19.53
2019-06-30T04:00:01+02:00;NaN;;-17.78;32.98;15.2
2019-06-30T04:00:03+02:00;-13.78;-24.72;NaN;;-38.5
2019-06-30T04:10:01+02:00;-13.78;-24.85;-17.18;32.82;-22.99
2019-06-30T04:20:02+02:00;-13.77;-24.72;-17.21;31.09;-24.61
2019-06-30T04:30:04+02:00;-13.79;-24.78;NaN;;-38.57
2019-06-30T04:30:05+02:00;NaN;;-17.79;32.47;14.68
2019-06-30T04:40:04+02:00;NaN;;-16.81;30.13;13.32
2019-06-30T04:40:05+02:00;-13.79;-24.71;NaN;;-38.5
2019-06-30T04:50:01+02:00;-13.77;-24.67;-18.09;32.43;-24.1
2019-06-30T05:00:02+02:00;-13.8;-24.71;-16.5;29.96;-25.05
2019-06-30T05:10:02+02:00;-13.8;-24.68;NaN;;-38.48
2019-06-30T05:10:03+02:00;NaN;;-18.33;32.16;13.83
2019-06-30T05:20:01+02:00;-13.83;-24.69;-16.32;29.48;-25.36
