i	T	C	F	CS	FS
000178	03/07/2019 18:20:02	-13,22	-14,09		
000179	03/07/2019 18:30:02	-14,18	-11,95		FSPIKE
000180	03/07/2019 18:40:03	-14,17	-18,11		
000181	03/07/2019 18:50:01	-14,16	-16,67		
000182	03/07/2019 19:00:01	-14,19	-16,36		
000183	03/07/2019 19:00:03	-13,22	-17,63		
000184	03/07/2019 19:10:02	-14,19	-17,58		
000185	03/07/2019 19:20:01	-13,22	-16,45		
000186	03/07/2019 19:20:02	-13,27	-16,36		
000187	03/07/2019 19:30:03	-10,21	-18,11	CSPIKE	
000188	03/07/2019 19:40:01	-13,22	-16,89	CSPIKE	
000189	03/07/2019 19:40:02	-13,39	-16,36		
000190	03/07/2019 19:50:01	-14,13	-16,36		
000191	03/07/2019 19:50:02	-13,22	-17,40		
000192	03/07/2019 20:00:01	-14,27	-16,36		
000193	03/07/2019 20:00:03	-13,22	-17,64		
000194	03/07/2019 20:10:01	-14,27	-16,49		
000195	03/07/2019 20:20:02	-14,26	-18,30		
000196	03/07/2019 20:30:01	-14,19	-16,36		
000197	03/07/2019 20:30:02	-13,22	-16,58		
000198	03/07/2019 20:40:03	-14,21	-17,82		
000199	03/07/2019 20:50:01	-14,21	-17,29		
000200	03/07/2019 21:00:03	-14,19	-16,72		
000201	03/07/2019 21:10:01	-14,29	-16,36		
000202	03/07/2019 21:10:02	-13,22	-17,98		
000203	03/07/2019 21:20:01	-14,34	-14,49		
000204	03/07/2019 21:30:02	-14,28	-12,27		FSPIKE
000205	03/07/2019 21:40:01	-14,30	-18,23		
000206	03/07/2019 21:50:02	-14,22	-16,54		
000207	03/07/2019 22:00:03	-14,25	-17,70		
000208	03/07/2019 22:10:03	-14,33	-17,51		
000209	03/07/2019 22:20:02	-14,35	-16,59		
000210	03/07/2019 22:30:02	-14,35	-18,25		
000211	03/07/2019 22:40:02	-14,31	-16,49		
000212	03/07/2019 22:50:03	-14,31	-18,04		
000213	03/07/2019 23:00:03	-14,30	-17,19		
000214	03/07/2019 23:10:01	-14,30	-16,36		
000215	03/07/2019 23:10:02	-13,22	-17,17		
000216	03/07/2019 23:20:01	-14,29	-17,76		
000217	03/07/2019 23:30:01	-13,57	-16,38		
000218	03/07/2019 23:40:01	-10,61	-16,36	CSPIKE	
000219	03/07/2019 23:40:02	-13,22	-18,32	CSPIKE	
000220	03/07/2019 23:50:01	-13,36	-16,34		
000221	04/07/2019 00:00:02	-13,22	-18,18		
000222	04/07/2019 00:00:03	-14,21	-16,36		
000223	04/07/2019 00:10:01	-14,24	-16,76		
000224	04/07/2019 00:20:01	-13,22	-15,37		
000225	04/07/2019 00:20:02	-14,31	-16,36		
000226	04/07/2019 00:30:01	-13,22	-11,29		FSPIKE
000227	04/07/2019 00:30:02	-14,29	-16,36		
000228	04/07/2019 00:40:01	-14,32	-17,42		
000229	04/07/2019 00:50:02	-14,32	-16,36		
000230	04/07/2019 01:00:03	-14,41	-16,36		
000231	04/07/2019 01:00:04	-13,22	-18,13		
000232	04/07/2019 01:10:01	-14,36	-16,36		
000233	04/07/2019 01:10:02	-13,22	-16,67		
000234	04/07/2019 01:20:01	-14,33	-17,54		
000235	04/07/2019 01:30:03	-14,29	-17,43		
000236	04/07/2019 01:40:01	-14,25	-16,36		
000237	04/07/2019 01:40:02	-13,22	-16,67		
000238	04/07/2019 01:50:01	-14,23	-18,11		
000239	04/07/2019 02:00:03	-14,23	-16,27		
000240	04/07/2019 02:10:01	-14,20	-18,39		
000241	04/07/2019 02:20:01	-14,13	-16,42		
000242	04/07/2019 02:30:03	-14,19	-17,94		
000243	04/07/2019 02:40:01	-13,22	-17,09		
000244	04/07/2019 02:40:02	-14,25	-16,36		
000245	04/07/2019 02:50:01	-14,27	-17,22		
000246	04/07/2019 03:00:01	-14,23	-17,52		
000247	04/07/2019 03:10:01	-14,24	-16,65		
000248	04/07/2019 03:20:01	-14,27	-16,36		
000249	04/07/2019 03:20:02	-13,22	-13,11		FSPIKE
